Nom_commune;Code_postal
ABEILHAN;34290
AGEL;34210
ASPIRAN;34800
AVENE;34260
BALARUC LE VIEUX;34540
BERLOU;34360
BOISSERON;34160
BOUJAN SUR LIBRON;34760
LE BOUSQUET D ORB;34260
CASTANET LE HAUT;34610
CASTELNAU LE LEZ;34170
CAZOULS D HERAULT;34120
CELLES;34700
CLERMONT L HERAULT;34800
COMBES;34240
COURNONTERRAL;34660
LE CRES;34920
FERRALS LES MONTAGNES;34210
ST MARD SUR AUVE;51800
ST MARD LES ROUFFY;51130
STE MARIE A PY;51600
ST MARTIN AUX CHAMPS;51240
ST MEMMIE;51470
ST QUENTIN LE VERGER;51120
ST REMY SOUS BROYES;51120
ST SATURNIN;51260
ST THOMAS EN ARGONNE;51800
SARCY;51170
SAUDOY;51120
SCRUPT;51340
SILLERY;51500
SOIZY AUX BOIS;51120
SOMSOIS;51290
SOULANGES;51300
SUIZY LE FRANC;51270
THIL;51220
VAL DE VESLE;51360
TRIGNY;51140
VADENAY;51400
VALMY;51800
VANAULT LE CHATEL;51330
VATRY;51320
VAVRAY LE GRAND;51300
VAVRAY LE PETIT;51300
VERT TOULON;51130
VILLENEUVE LA LIONNE;51310
VILLENEUVE RENNEVILLE CHEVIGNY;51130
VILLERS AUX BOIS;51130
LA VILLE SOUS ORBAIS;51270
VILLEVENARD;51270
VITRY LE FRANCOIS;51300
VRAUX;51150
MAGENTA;51530
AMBONVILLE;52110
ANDELOT BLANCHEVILLE;52700
ATTANCOURT;52130
AUJEURRES;52190
AUTREVILLE SUR LA RENNE;52120
AVRECOURT;52140
BAISSEY;52250
BEAUCHEMIN;52260
ROCHES BETTAINCOURT;52270
BOURBONNE LES BAINS;52400
BREUVANNES EN BASSIGNY;52240
BROUSSEVAL;52130
CHALINDREY;52600
VALS DES TILLES;52160
CHALVRAINES;52700
CHANGEY;52360
CHATEAUVILLAIN;52120
CHAUMONT;52000
CIRFONTAINES EN AZOIS;52370
CLINCHAMP;52700
COIFFY LE BAS;52400
COLOMBEY LES DEUX EGLISES;52330
CONSIGNY;52700
COURCELLES EN MONTAGNE;52200
CUREL;52300
CURMONT;52330
DARMANNES;52700
DOMMARIEN;52190
DOMMARTIN LE ST PERE;52110
DOULEVANT LE CHATEAU;52110
EPIZON;52230
LE VAL D ESNOMS;52190
EUFFIGNEIX;52000
EURVILLE BIENVILLE;52410
FAYS;52130
FONTAINES SUR MARNE;52170
FOULAIN;52800
FRONCLES;52320
LA GENEVROYE;52320
